cmdddid,cmddd_slid,cmddd_cbid,cmdddname,cmddddeploymentdate,cmdddrecoverydate,cmddddateinposition,cmddddateoutposition,cmdddlatitude,cmdddlongitude,cmddddepth,cmdddstatus,cmdddupdatedby,cmdreadonly,cmdddnotes,cmdslid,cmdsl_fsid,cmdslname,cmdsldepth,cmdslnominallatitude,cmdslnominallongitude,cmdsldescription,cmdslfacility,cmdslpi,cmdfsid,cmdfs_cbid,cmdfsshortname,cmdfslongname,cmdfsdescription,cmdfsnominaltimezone,cmdfsinstitution
321,48,2,SAZ42-01-1997,20/09/1997,,,,-42.122,141.755,5092,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
348,48,2,SAZ45-11-2008,4/10/2008,23/09/2009,,,-44.792,145.639,3636,0,0,FALSE,"Deploy AA08/09 Trial, Recovery SS2009_V04",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
323,48,2,SAZ47-01-1997,19/09/1997,7/03/1998,,,-46.759,142.07,4540,0,0,FALSE,"Deploy AA97_V06 Recovery SS99_V02
",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
326,48,2,SAZ47-02-1998,11/03/1998,10/02/1999,,,-46.759,142.09,4436,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
328,48,2,SAZ47-03-1999,18/07/1999,5/10/2000,,,-46.783,142.099,4400,0,0,FALSE,"Deploy AA99_V02, Recovery AA00_V01
",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
330,48,2,SAZ47-04-2000,7/10/2000,11/10/2001,,,-46.908,142.039,4600,0,0,FALSE,"Deploy AA00_V01, Recovery AA01_V03",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
332,48,2,SAZ47-05-2001,11/10/2001,,,,-46.791,142.041,4600,0,0,FALSE,"Deploy AA01_V03, attempt AA02_V01 not recovered",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
339,48,2,SAZ47-07-2003,15/09/2003,6/10/2004,,,-46.825,141.646,4635,0,0,FALSE,"Deploy AA03_V01, Recovery AA04_V01
",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
341,48,2,SAZ47-08-2004,8/10/2004,,,,-46.766,141.452,4830,0,0,FALSE,"Deploy AA04_V01, Not Recovered",48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
343,48,2,SAZ47-09-2005,4/12/2005,2/04/2006,,,-46.8,141.844,4663,0,0,FALSE,,48,11,SAZ47,4500,-47,142,Sediment Trap Mooring,ABOS-SOTS,"Trull, Tom : tom.trull@csiro.au",11,2,SOTS,Southern Ocean Time Series,"Southern Ocean Site at 47 South, with Pulse, SAZ, and SOFS moorings",UTC,ABOS-SOTS
